Period,Replicate,Target,Token,Rank,Target_in_vocab,Vocab_size
1901-1930,8,terrorism,socialist_revolutionary,29.0,True,8423
1901-1930,8,terrorism,assassination,508.0,True,8423
1901-1930,8,terrorist,night_rider,27.0,True,8423
1901-1930,9,terrorism,bulgar,1.0,True,9032
1901-1930,9,terrorism,social_revolutionist,63.0,True,9032
1901-1930,9,terrorism,socialist_revolutionary,,True,9032
1901-1930,9,terrorism,assassination,258.0,True,9032
1901-1930,9,terrorist,night_rider,559.0,True,9032
1901-1930,10,terrorism,bulgar,90.0,True,8836
1901-1930,10,terrorism,social_revolutionist,19.0,True,8836
1901-1930,10,terrorism,socialist_revolutionary,141.0,True,8836
1901-1930,10,terrorism,assassination,163.0,True,8836
1901-1930,10,terrorist,night_rider,13.0,True,8836
1901-1930,11,terrorism,bulgar,,True,8828
1901-1930,11,terrorism,social_revolutionist,27.0,True,8828
1901-1930,11,terrorism,socialist_revolutionary,9.0,True,8828
1901-1930,11,terrorism,assassination,133.0,True,8828
1901-1930,11,terrorist,night_rider,,True,8828
1901-1930,12,terrorism,bulgar,,True,8886
1901-1930,12,terrorism,social_revolutionist,10.0,True,8886
1901-1930,12,terrorism,socialist_revolutionary,201.0,True,8886
1901-1930,12,terrorism,assassination,121.0,True,8886
1901-1930,12,terrorist,night_rider,140.0,True,8886
1901-1930,13,terrorism,bulgar,,True,8999
1901-1930,13,terrorism,social_revolutionist,19.0,True,8999
1901-1930,13,terrorism,socialist_revolutionary,187.0,True,8999
1901-1930,13,terrorism,assassination,181.0,True,8999
1901-1930,13,terrorist,night_rider,255.0,True,8999
1901-1930,14,terrorism,bulgar,28.0,True,8876
1901-1930,14,terrorism,social_revolutionist,11.0,True,8876
1901-1930,14,terrorism,socialist_revolutionary,7.0,True,8876
1901-1930,14,terrorism,assassination,34.0,True,8876
1901-1930,14,terrorist,night_rider,81.0,True,8876
1901-1930,15,terrorism,bulgar,4.0,True,8818
1901-1930,15,terrorism,social_revolutionist,38.0,True,8818
1901-1930,15,terrorism,socialist_revolutionary,10.0,True,8818
1901-1930,15,terrorism,assassination,1183.0,True,8818
1901-1930,15,terrorist,night_rider,41.0,True,8818
1901-1930,16,terrorism,bulgar,,True,8841
1901-1930,16,terrorism,social_revolutionist,6.0,True,8841
1901-1930,16,terrorism,socialist_revolutionary,22.0,True,8841
1901-1930,16,terrorism,assassination,148.0,True,8841
1901-1930,16,terrorist,night_rider,,True,8841
1901-1930,17,terrorism,bulgar,,True,8689
1901-1930,17,terrorism,social_revolutionist,69.0,True,8689
1901-1930,17,terrorism,socialist_revolutionary,492.0,True,8689
1901-1930,17,terrorism,assassination,459.0,True,8689
1901-1930,17,terrorist,night_rider,175.0,True,8689
1901-1930,18,terrorism,bulgar,30.0,True,8926
1901-1930,18,terrorism,social_revolutionist,17.0,True,8926
1901-1930,18,terrorism,socialist_revolutionary,52.0,True,8926
1901-1930,18,terrorism,assassination,26.0,True,8926
1901-1930,18,terrorist,night_rider,,True,8926
1901-1930,19,terrorism,bulgar,,True,8792
1901-1930,19,terrorism,social_revolutionist,42.0,True,8792
1901-1930,19,terrorism,socialist_revolutionary,218.0,True,8792
1901-1930,19,terrorism,assassination,50.0,True,8792
1901-1930,19,terrorist,night_rider,,True,8792
1901-1930,20,terrorism,bulgar,,True,8843
1901-1930,20,terrorism,social_revolutionist,106.0,True,8843
1901-1930,20,terrorism,socialist_revolutionary,18.0,True,8843
1901-1930,20,terrorism,assassination,184.0,True,8843
1901-1930,20,terrorist,night_rider,28.0,True,8843
1901-1930,21,terrorism,bulgar,186.0,True,8747
1901-1930,21,terrorism,social_revolutionist,439.0,True,8747
1901-1930,21,terrorism,socialist_revolutionary,760.0,True,8747
1901-1930,21,terrorism,assassination,295.0,True,8747
1901-1930,21,terrorist,night_rider,5.0,True,8747
1901-1930,22,terrorism,bulgar,5.0,True,8877
1901-1930,22,terrorism,social_revolutionist,171.0,True,8877
1901-1930,22,terrorism,socialist_revolutionary,78.0,True,8877
1901-1930,22,terrorism,assassination,223.0,True,8877
1901-1930,22,terrorist,night_rider,212.0,True,8877
1901-1930,23,terrorism,bulgar,3.0,True,8992
1901-1930,23,terrorism,social_revolutionist,65.0,True,8992
1901-1930,23,terrorism,socialist_revolutionary,488.0,True,8992
1901-1930,23,terrorism,assassination,7.0,True,8992
1901-1930,23,terrorist,night_rider,45.0,True,8992
1901-1930,24,terrorism,bulgar,,True,9162
1901-1930,24,terrorism,social_revolutionist,16.0,True,9162
1901-1930,24,terrorism,socialist_revolutionary,1663.0,True,9162
1901-1930,24,terrorism,assassination,2448.0,True,9162
1901-1930,24,terrorist,night_rider,193.0,True,9162
1901-1930,25,terrorism,bulgar,1.0,True,8699
1901-1930,25,terrorism,social_revolutionist,406.0,True,8699
1901-1930,25,terrorism,socialist_revolutionary,17.0,True,8699
1901-1930,25,terrorism,assassination,66.0,True,8699
1901-1930,25,terrorist,night_rider,8.0,True,8699
1901-1930,26,terrorism,bulgar,2.0,True,8654
1901-1930,26,terrorism,social_revolutionist,25.0,True,8654
1901-1930,26,terrorism,socialist_revolutionary,16.0,True,8654
1901-1930,26,terrorism,assassination,19.0,True,8654
1901-1930,26,terrorist,night_rider,46.0,True,8654
1901-1930,27,terrorism,bulgar,749.0,True,8969
1901-1930,27,terrorism,social_revolutionist,66.0,True,8969
1901-1930,27,terrorism,socialist_revolutionary,8.0,True,8969
1901-1930,27,terrorism,assassination,78.0,True,8969
1901-1930,27,terrorist,night_rider,43.0,True,8969
1901-1930,28,terrorism,bulgar,,True,8883
1901-1930,28,terrorism,social_revolutionist,17.0,True,8883
1901-1930,28,terrorism,socialist_revolutionary,37.0,True,8883
1901-1930,28,terrorism,assassination,5.0,True,8883
1901-1930,28,terrorist,night_rider,,True,8883
1901-1930,29,terrorism,bulgar,1.0,True,8682
1901-1930,29,terrorism,social_revolutionist,84.0,True,8682
1901-1930,29,terrorism,socialist_revolutionary,14.0,True,8682
1901-1930,29,terrorism,assassination,438.0,True,8682
1901-1930,29,terrorist,night_rider,294.0,True,8682
1901-1930,30,terrorism,bulgar,7.0,True,8878
1901-1930,30,terrorism,social_revolutionist,31.0,True,8878
1901-1930,30,terrorism,socialist_revolutionary,351.0,True,8878
1901-1930,30,terrorism,assassination,172.0,True,8878
1901-1930,30,terrorist,night_rider,686.0,True,8878
1901-1930,31,terrorism,bulgar,7.0,True,9201
1901-1930,31,terrorism,social_revolutionist,2.0,True,9201
1901-1930,31,terrorism,socialist_revolutionary,38.0,True,9201
1901-1930,31,terrorism,assassination,72.0,True,9201
1901-1930,31,terrorist,night_rider,21.0,True,9201
1901-1930,32,terrorism,bulgar,143.0,True,8598
1901-1930,32,terrorism,social_revolutionist,27.0,True,8598
1901-1930,32,terrorism,socialist_revolutionary,661.0,True,8598
1901-1930,32,terrorism,assassination,1534.0,True,8598
1901-1930,32,terrorist,night_rider,17.0,True,8598
1901-1930,33,terrorism,bulgar,,True,9103
1901-1930,33,terrorism,social_revolutionist,73.0,True,9103
1901-1930,33,terrorism,socialist_revolutionary,360.0,True,9103
1901-1930,33,terrorism,assassination,628.0,True,9103
1901-1930,33,terrorist,night_rider,,True,9103
1901-1930,34,terrorism,bulgar,,True,9051
1901-1930,34,terrorism,social_revolutionist,17.0,True,9051
1901-1930,34,terrorism,socialist_revolutionary,69.0,True,9051
1901-1930,34,terrorism,assassination,1249.0,True,9051
1901-1930,34,terrorist,night_rider,55.0,True,9051
1901-1930,35,terrorism,bulgar,,True,8983
1901-1930,35,terrorism,social_revolutionist,23.0,True,8983
1901-1930,35,terrorism,socialist_revolutionary,138.0,True,8983
1901-1930,35,terrorism,assassination,703.0,True,8983
1901-1930,35,terrorist,night_rider,16.0,True,8983
1901-1930,36,terrorism,bulgar,,True,9071
1901-1930,36,terrorism,social_revolutionist,23.0,True,9071
1901-1930,36,terrorism,socialist_revolutionary,22.0,True,9071
1901-1930,36,terrorism,assassination,21.0,True,9071
1901-1930,36,terrorist,night_rider,,True,9071
1901-1930,37,terrorism,bulgar,7.0,True,8960
1901-1930,37,terrorism,social_revolutionist,202.0,True,8960
1901-1930,37,terrorism,socialist_revolutionary,1368.0,True,8960
1901-1930,37,terrorism,assassination,65.0,True,8960
1901-1930,37,terrorist,night_rider,40.0,True,8960
1901-1930,38,terrorism,bulgar,1.0,True,9013
1901-1930,38,terrorism,social_revolutionist,7.0,True,9013
1901-1930,38,terrorism,socialist_revolutionary,588.0,True,9013
1901-1930,38,terrorism,assassination,172.0,True,9013
1901-1930,38,terrorist,night_rider,,True,9013
1901-1930,39,terrorism,bulgar,,True,9026
1901-1930,39,terrorism,social_revolutionist,2289.0,True,9026
1901-1930,39,terrorism,socialist_revolutionary,66.0,True,9026
1901-1930,39,terrorism,assassination,1665.0,True,9026
1901-1930,39,terrorist,night_rider,,True,9026
1901-1930,40,terrorism,bulgar,3.0,True,8759
1901-1930,40,terrorism,social_revolutionist,40.0,True,8759
1901-1930,40,terrorism,socialist_revolutionary,792.0,True,8759
1901-1930,40,terrorism,assassination,315.0,True,8759
1901-1930,40,terrorist,night_rider,167.0,True,8759
1901-1930,41,terrorism,bulgar,,True,8630
1901-1930,41,terrorism,social_revolutionist,20.0,True,8630
1901-1930,41,terrorism,socialist_revolutionary,479.0,True,8630
1901-1930,41,terrorism,assassination,196.0,True,8630
1901-1930,41,terrorist,night_rider,66.0,True,8630
1901-1930,42,terrorism,bulgar,,True,8617
1901-1930,42,terrorism,social_revolutionist,14.0,True,8617
1901-1930,42,terrorism,socialist_revolutionary,254.0,True,8617
1901-1930,42,terrorism,assassination,159.0,True,8617
1901-1930,42,terrorist,night_rider,21.0,True,8617
1901-1930,43,terrorism,bulgar,75.0,True,8795
1901-1930,43,terrorism,social_revolutionist,225.0,True,8795
1901-1930,43,terrorism,socialist_revolutionary,174.0,True,8795
1901-1930,43,terrorism,assassination,313.0,True,8795
1901-1930,43,terrorist,night_rider,27.0,True,8795
1901-1930,44,terrorism,bulgar,2.0,True,8695
1901-1930,44,terrorism,social_revolutionist,62.0,True,8695
1901-1930,44,terrorism,socialist_revolutionary,103.0,True,8695
1901-1930,44,terrorism,assassination,304.0,True,8695
1901-1930,44,terrorist,night_rider,114.0,True,8695
1901-1930,45,terrorism,bulgar,,True,8925
1901-1930,45,terrorism,social_revolutionist,75.0,True,8925
1901-1930,45,terrorism,socialist_revolutionary,503.0,True,8925
1901-1930,45,terrorism,assassination,172.0,True,8925
1901-1930,45,terrorist,night_rider,17.0,True,8925
1901-1930,46,terrorism,bulgar,,True,9171
1901-1930,46,terrorism,social_revolutionist,23.0,True,9171
1901-1930,46,terrorism,socialist_revolutionary,69.0,True,9171
1901-1930,46,terrorism,assassination,337.0,True,9171
1901-1930,46,terrorist,night_rider,,True,9171
1901-1930,47,terrorism,bulgar,,True,8922
1901-1930,47,terrorism,social_revolutionist,159.0,True,8922
1901-1930,47,terrorism,socialist_revolutionary,29.0,True,8922
1901-1930,47,terrorism,assassination,292.0,True,8922
1901-1930,47,terrorist,night_rider,,True,8922
1901-1930,48,terrorism,bulgar,,True,8420
1901-1930,48,terrorism,social_revolutionist,111.0,True,8420
1901-1930,48,terrorism,socialist_revolutionary,41.0,True,8420
1901-1930,48,terrorism,assassination,332.0,True,8420
1901-1930,48,terrorist,night_rider,26.0,True,8420
1901-1930,49,terrorism,bulgar,,True,8745
1901-1930,49,terrorism,social_revolutionist,187.0,True,8745
1901-1930,49,terrorism,socialist_revolutionary,42.0,True,8745
1901-1930,49,terrorism,assassination,1368.0,True,8745
1901-1930,49,terrorist,night_rider,40.0,True,8745
1931-1950,0,terrorism,nazis,4.0,True,11846
1931-1950,0,terrorism,bombing,11.0,True,11846
1931-1950,0,terrorism,jews,6.0,True,11846
1931-1950,0,terrorism,reich,29.0,True,11846
1931-1950,0,terrorism,zionist,39.0,True,11846
1931-1950,0,terrorism,malaya,18.0,True,11846
1931-1950,0,terrorism,klan,15.0,True,11846
1931-1950,0,terrorism,holy_war,3030.0,True,11846
1931-1950,0,terrorism,bombay_india,7526.0,True,11846
1931-1950,1,terrorism,nazis,2.0,True,12050
1931-1950,1,terrorism,bombing,9.0,True,12050
1931-1950,1,terrorism,jews,30.0,True,12050
1931-1950,1,terrorism,reich,175.0,True,12050
1931-1950,1,terrorism,zionist,7.0,True,12050
1931-1950,1,terrorism,malaya,316.0,True,12050
1931-1950,1,terrorism,klan,63.0,True,12050
1931-1950,1,terrorism,holy_war,12.0,True,12050
1931-1950,1,terrorism,bombay_india,214.0,True,12050
1931-1950,2,terrorism,nazis,7.0,True,12003
1931-1950,2,terrorism,bombing,4.0,True,12003
1931-1950,2,terrorism,jews,40.0,True,12003
1931-1950,2,terrorism,reich,14.0,True,12003
1931-1950,2,terrorism,zionist,66.0,True,12003
1931-1950,2,terrorism,malaya,128.0,True,12003
1931-1950,2,terrorism,klan,100.0,True,12003
1931-1950,2,terrorism,holy_war,820.0,True,12003
1931-1950,2,terrorism,bombay_india,53.0,True,12003
1931-1950,3,terrorism,nazis,52.0,True,11895
1931-1950,3,terrorism,bombing,1.0,True,11895
1931-1950,3,terrorism,jews,12.0,True,11895
1931-1950,3,terrorism,reich,6.0,True,11895
1931-1950,3,terrorism,zionist,129.0,True,11895
1931-1950,3,terrorism,malaya,28.0,True,11895
1931-1950,3,terrorism,klan,1455.0,True,11895
1931-1950,3,terrorism,holy_war,593.0,True,11895
1931-1950,3,terrorism,bombay_india,,True,11895
1931-1950,4,terrorism,nazis,2.0,True,11958
1931-1950,4,terrorism,bombing,14.0,True,11958
1931-1950,4,terrorism,jews,4.0,True,11958
1931-1950,4,terrorism,reich,9.0,True,11958
1931-1950,4,terrorism,zionist,10.0,True,11958
1931-1950,4,terrorism,malaya,67.0,True,11958
1931-1950,4,terrorism,klan,230.0,True,11958
1931-1950,4,terrorism,holy_war,569.0,True,11958
1931-1950,4,terrorism,bombay_india,,True,11958
1931-1950,5,terrorism,nazis,2.0,True,11800
1931-1950,5,terrorism,bombing,17.0,True,11800
1931-1950,5,terrorism,jews,713.0,True,11800
1931-1950,5,terrorism,reich,13.0,True,11800
1931-1950,5,terrorism,zionist,2822.0,True,11800
1931-1950,5,terrorism,malaya,3.0,True,11800
1931-1950,5,terrorism,klan,62.0,True,11800
1931-1950,5,terrorism,holy_war,2095.0,True,11800
1931-1950,5,terrorism,bombay_india,,True,11800
1931-1950,6,terrorism,nazis,2.0,True,11852
1931-1950,6,terrorism,bombing,1.0,True,11852
1931-1950,6,terrorism,jews,6.0,True,11852
1931-1950,6,terrorism,reich,3.0,True,11852
1931-1950,6,terrorism,zionist,31.0,True,11852
1931-1950,6,terrorism,malaya,16.0,True,11852
1931-1950,6,terrorism,klan,150.0,True,11852
1931-1950,6,terrorism,holy_war,2241.0,True,11852
1931-1950,6,terrorism,bombay_india,376.0,True,11852
1931-1950,7,terrorism,nazis,1.0,True,11940
1931-1950,7,terrorism,bombing,2.0,True,11940
1931-1950,7,terrorism,jews,66.0,True,11940
1931-1950,7,terrorism,reich,15.0,True,11940
1931-1950,7,terrorism,zionist,221.0,True,11940
1931-1950,7,terrorism,malaya,9.0,True,11940
1931-1950,7,terrorism,klan,16.0,True,11940
1931-1950,7,terrorism,holy_war,596.0,True,11940
1931-1950,7,terrorism,bombay_india,,True,11940
1931-1950,8,terrorism,nazis,2.0,True,11754
1931-1950,8,terrorism,bombing,1.0,True,11754
1931-1950,8,terrorism,jews,9.0,True,11754
1931-1950,8,terrorism,reich,12.0,True,11754
1931-1950,8,terrorism,zionist,455.0,True,11754
1931-1950,8,terrorism,malaya,117.0,True,11754
1931-1950,8,terrorism,klan,167.0,True,11754
1931-1950,8,terrorism,holy_war,174.0,True,11754
1931-1950,8,terrorism,bombay_india,40.0,True,11754
1931-1950,9,terrorism,nazis,8.0,True,12067
1931-1950,9,terrorism,bombing,3.0,True,12067
1931-1950,9,terrorism,jews,5.0,True,12067
1931-1950,9,terrorism,reich,10.0,True,12067
1931-1950,9,terrorism,zionist,23.0,True,12067
1931-1950,9,terrorism,malaya,177.0,True,12067
1931-1950,9,terrorism,klan,67.0,True,12067
1931-1950,9,terrorism,holy_war,486.0,True,12067
1931-1950,9,terrorism,bombay_india,767.0,True,12067
1931-1950,10,terrorism,nazis,3.0,True,12021
1931-1950,10,terrorism,bombing,8.0,True,12021
1931-1950,10,terrorism,jews,2.0,True,12021
1931-1950,10,terrorism,reich,4.0,True,12021
1931-1950,10,terrorism,zionist,108.0,True,12021
1931-1950,10,terrorism,malaya,42.0,True,12021
1931-1950,10,terrorism,klan,219.0,True,12021
1931-1950,10,terrorism,holy_war,480.0,True,12021
1931-1950,10,terrorism,bombay_india,275.0,True,12021
1931-1950,11,terrorism,nazis,12.0,True,11881
1931-1950,11,terrorism,bombing,3.0,True,11881
1931-1950,11,terrorism,jews,8.0,True,11881
1931-1950,11,terrorism,reich,1.0,True,11881
1931-1950,11,terrorism,zionist,10.0,True,11881
1931-1950,11,terrorism,malaya,1319.0,True,11881
1931-1950,11,terrorism,klan,168.0,True,11881
1931-1950,11,terrorism,holy_war,61.0,True,11881
1931-1950,11,terrorism,bombay_india,,True,11881
1931-1950,12,terrorism,nazis,1.0,True,12211
1931-1950,12,terrorism,bombing,4.0,True,12211
1931-1950,12,terrorism,jews,17.0,True,12211
1931-1950,12,terrorism,reich,8.0,True,12211
1931-1950,12,terrorism,zionist,60.0,True,12211
1931-1950,12,terrorism,malaya,24.0,True,12211
1931-1950,12,terrorism,klan,80.0,True,12211
1931-1950,12,terrorism,holy_war,253.0,True,12211
1931-1950,12,terrorism,bombay_india,852.0,True,12211
1931-1950,13,terrorism,nazis,2.0,True,11629
1931-1950,13,terrorism,bombing,11.0,True,11629
1931-1950,13,terrorism,jews,402.0,True,11629
1931-1950,13,terrorism,reich,31.0,True,11629
1931-1950,13,terrorism,zionist,3319.0,True,11629
1931-1950,13,terrorism,malaya,197.0,True,11629
1931-1950,13,terrorism,klan,64.0,True,11629
1931-1950,13,terrorism,holy_war,144.0,True,11629
1931-1950,13,terrorism,bombay_india,,True,11629
1931-1950,14,terrorism,nazis,1.0,True,11731
1931-1950,14,terrorism,bombing,5.0,True,11731
1931-1950,14,terrorism,jews,13.0,True,11731
1931-1950,14,terrorism,reich,9.0,True,11731
1931-1950,14,terrorism,zionist,787.0,True,11731
1931-1950,14,terrorism,malaya,1889.0,True,11731
1931-1950,14,terrorism,klan,29.0,True,11731
1931-1950,14,terrorism,holy_war,1769.0,True,11731
1931-1950,14,terrorism,bombay_india,5415.0,True,11731
1931-1950,15,terrorism,nazis,2.0,True,11699
1931-1950,15,terrorism,bombing,3.0,True,11699
1931-1950,15,terrorism,jews,15.0,True,11699
1931-1950,15,terrorism,reich,143.0,True,11699
1931-1950,15,terrorism,zionist,185.0,True,11699
1931-1950,15,terrorism,malaya,140.0,True,11699
1931-1950,15,terrorism,klan,784.0,True,11699
1931-1950,15,terrorism,holy_war,1603.0,True,11699
1931-1950,15,terrorism,bombay_india,112.0,True,11699
1931-1950,16,terrorism,nazis,7.0,True,11942
1931-1950,16,terrorism,bombing,2.0,True,11942
1931-1950,16,terrorism,jews,3.0,True,11942
1931-1950,16,terrorism,reich,39.0,True,11942
1931-1950,16,terrorism,zionist,5.0,True,11942
1931-1950,16,terrorism,malaya,107.0,True,11942
1931-1950,16,terrorism,klan,222.0,True,11942
1931-1950,16,terrorism,holy_war,,True,11942
1931-1950,16,terrorism,bombay_india,22.0,True,11942
1931-1950,17,terrorism,nazis,1.0,True,11979
1931-1950,17,terrorism,bombing,5.0,True,11979
1931-1950,17,terrorism,jews,4.0,True,11979
1931-1950,17,terrorism,reich,3.0,True,11979
1931-1950,17,terrorism,zionist,15.0,True,11979
1931-1950,17,terrorism,malaya,90.0,True,11979
1931-1950,17,terrorism,klan,29.0,True,11979
1931-1950,17,terrorism,holy_war,26.0,True,11979
1931-1950,17,terrorism,bombay_india,763.0,True,11979
1931-1950,18,terrorism,nazis,5.0,True,11950
1931-1950,18,terrorism,bombing,4.0,True,11950
1931-1950,18,terrorism,jews,2.0,True,11950
1931-1950,18,terrorism,reich,6.0,True,11950
1931-1950,18,terrorism,zionist,221.0,True,11950
1931-1950,18,terrorism,malaya,66.0,True,11950
1931-1950,18,terrorism,klan,52.0,True,11950
1931-1950,18,terrorism,holy_war,22.0,True,11950
1931-1950,18,terrorism,bombay_india,373.0,True,11950
1931-1950,19,terrorism,nazis,1.0,True,11874
1931-1950,19,terrorism,bombing,3.0,True,11874
1931-1950,19,terrorism,jews,78.0,True,11874
1931-1950,19,terrorism,reich,592.0,True,11874
1931-1950,19,terrorism,zionist,59.0,True,11874
1931-1950,19,terrorism,malaya,17.0,True,11874
1931-1950,19,terrorism,klan,216.0,True,11874
1931-1950,19,terrorism,holy_war,118.0,True,11874
1931-1950,19,terrorism,bombay_india,,True,11874
1931-1950,20,terrorism,nazis,19.0,True,11767
1931-1950,20,terrorism,bombing,2.0,True,11767
1931-1950,20,terrorism,jews,10.0,True,11767
1931-1950,20,terrorism,reich,4.0,True,11767
1931-1950,20,terrorism,zionist,12.0,True,11767
1931-1950,20,terrorism,malaya,183.0,True,11767
1931-1950,20,terrorism,klan,27.0,True,11767
1931-1950,20,terrorism,holy_war,69.0,True,11767
1931-1950,20,terrorism,bombay_india,111.0,True,11767
1931-1950,21,terrorism,nazis,4.0,True,12056
1931-1950,21,terrorism,bombing,28.0,True,12056
1931-1950,21,terrorism,jews,2.0,True,12056
1931-1950,21,terrorism,reich,10.0,True,12056
1931-1950,21,terrorism,zionist,17.0,True,12056
1931-1950,21,terrorism,malaya,277.0,True,12056
1931-1950,21,terrorism,klan,76.0,True,12056
1931-1950,21,terrorism,holy_war,36.0,True,12056
1931-1950,21,terrorism,bombay_india,,True,12056
1931-1950,22,terrorism,nazis,1.0,True,11625
1931-1950,22,terrorism,bombing,15.0,True,11625
1931-1950,22,terrorism,jews,114.0,True,11625
1931-1950,22,terrorism,reich,4.0,True,11625
1931-1950,22,terrorism,zionist,439.0,True,11625
1931-1950,22,terrorism,malaya,1478.0,True,11625
1931-1950,22,terrorism,klan,190.0,True,11625
1931-1950,22,terrorism,holy_war,123.0,True,11625
1931-1950,22,terrorism,bombay_india,,True,11625
1931-1950,23,terrorism,nazis,2.0,True,11699
1931-1950,23,terrorism,bombing,1.0,True,11699
1931-1950,23,terrorism,jews,6.0,True,11699
1931-1950,23,terrorism,reich,5.0,True,11699
1931-1950,23,terrorism,zionist,57.0,True,11699
1931-1950,23,terrorism,malaya,801.0,True,11699
1931-1950,23,terrorism,klan,72.0,True,11699
1931-1950,23,terrorism,holy_war,246.0,True,11699
1931-1950,23,terrorism,bombay_india,102.0,True,11699
1931-1950,24,terrorism,nazis,2.0,True,11810
1931-1950,24,terrorism,bombing,42.0,True,11810
1931-1950,24,terrorism,jews,16.0,True,11810
1931-1950,24,terrorism,reich,41.0,True,11810
1931-1950,24,terrorism,zionist,140.0,True,11810
1931-1950,24,terrorism,malaya,175.0,True,11810
1931-1950,24,terrorism,klan,23.0,True,11810
1931-1950,24,terrorism,holy_war,496.0,True,11810
1931-1950,24,terrorism,bombay_india,,True,11810
1931-1950,25,terrorism,nazis,5.0,True,11672
1931-1950,25,terrorism,bombing,1.0,True,11672
1931-1950,25,terrorism,jews,23.0,True,11672
1931-1950,25,terrorism,reich,2.0,True,11672
1931-1950,25,terrorism,zionist,76.0,True,11672
1931-1950,25,terrorism,malaya,153.0,True,11672
1931-1950,25,terrorism,klan,220.0,True,11672
1931-1950,25,terrorism,holy_war,101.0,True,11672
1931-1950,25,terrorism,bombay_india,,True,11672
1931-1950,26,terrorism,nazis,2.0,True,12117
1931-1950,26,terrorism,bombing,9.0,True,12117
1931-1950,26,terrorism,jews,4.0,True,12117
1931-1950,26,terrorism,reich,18.0,True,12117
1931-1950,26,terrorism,zionist,31.0,True,12117
1931-1950,26,terrorism,malaya,23.0,True,12117
1931-1950,26,terrorism,klan,64.0,True,12117
1931-1950,26,terrorism,holy_war,1019.0,True,12117
1931-1950,26,terrorism,bombay_india,1020.0,True,12117
1931-1950,27,terrorism,nazis,12.0,True,11842
1931-1950,27,terrorism,bombing,2.0,True,11842
1931-1950,27,terrorism,jews,7.0,True,11842
1931-1950,27,terrorism,reich,17.0,True,11842
1931-1950,27,terrorism,zionist,86.0,True,11842
1931-1950,27,terrorism,malaya,21.0,True,11842
1931-1950,27,terrorism,klan,30.0,True,11842
1931-1950,27,terrorism,holy_war,1575.0,True,11842
1931-1950,27,terrorism,bombay_india,1292.0,True,11842
1931-1950,28,terrorism,nazis,1.0,True,11566
1931-1950,28,terrorism,bombing,3.0,True,11566
1931-1950,28,terrorism,jews,13.0,True,11566
1931-1950,28,terrorism,reich,18.0,True,11566
1931-1950,28,terrorism,zionist,92.0,True,11566
1931-1950,28,terrorism,malaya,38.0,True,11566
1931-1950,28,terrorism,klan,551.0,True,11566
1931-1950,28,terrorism,holy_war,28.0,True,11566
1931-1950,28,terrorism,bombay_india,,True,11566
1931-1950,29,terrorism,nazis,13.0,True,11608
1931-1950,29,terrorism,bombing,2.0,True,11608
1931-1950,29,terrorism,jews,7.0,True,11608
1931-1950,29,terrorism,reich,6.0,True,11608
1931-1950,29,terrorism,zionist,36.0,True,11608
1931-1950,29,terrorism,malaya,23.0,True,11608
1931-1950,29,terrorism,klan,16.0,True,11608
1931-1950,29,terrorism,holy_war,12.0,True,11608
1931-1950,29,terrorism,bombay_india,305.0,True,11608
1931-1950,30,terrorism,nazis,1.0,True,11605
1931-1950,30,terrorism,bombing,3.0,True,11605
1931-1950,30,terrorism,jews,2.0,True,11605
1931-1950,30,terrorism,reich,6.0,True,11605
1931-1950,30,terrorism,zionist,13.0,True,11605
1931-1950,30,terrorism,malaya,12.0,True,11605
1931-1950,30,terrorism,klan,40.0,True,11605
1931-1950,30,terrorism,holy_war,336.0,True,11605
1931-1950,30,terrorism,bombay_india,,True,11605
1931-1950,31,terrorism,nazis,3.0,True,11742
1931-1950,31,terrorism,bombing,2.0,True,11742
1931-1950,31,terrorism,jews,316.0,True,11742
1931-1950,31,terrorism,reich,50.0,True,11742
1931-1950,31,terrorism,zionist,1943.0,True,11742
1931-1950,31,terrorism,malaya,,True,11742
1931-1950,31,terrorism,klan,36.0,True,11742
1931-1950,31,terrorism,holy_war,1909.0,True,11742
1931-1950,31,terrorism,bombay_india,,True,11742
1931-1950,32,terrorism,nazis,1.0,True,11826
1931-1950,32,terrorism,bombing,8.0,True,11826
1931-1950,32,terrorism,jews,4.0,True,11826
1931-1950,32,terrorism,reich,22.0,True,11826
1931-1950,32,terrorism,zionist,66.0,True,11826
1931-1950,32,terrorism,malaya,3.0,True,11826
1931-1950,32,terrorism,klan,326.0,True,11826
1931-1950,32,terrorism,holy_war,115.0,True,11826
1931-1950,32,terrorism,bombay_india,3435.0,True,11826
1931-1950,33,terrorism,nazis,12.0,True,11844
1931-1950,33,terrorism,bombing,13.0,True,11844
1931-1950,33,terrorism,jews,1.0,True,11844
1931-1950,33,terrorism,reich,2.0,True,11844
1931-1950,33,terrorism,zionist,167.0,True,11844
1931-1950,33,terrorism,malaya,1079.0,True,11844
1931-1950,33,terrorism,klan,54.0,True,11844
1931-1950,33,terrorism,holy_war,60.0,True,11844
1931-1950,33,terrorism,bombay_india,2650.0,True,11844
1931-1950,34,terrorism,nazis,4.0,True,12122
1931-1950,34,terrorism,bombing,1.0,True,12122
1931-1950,34,terrorism,jews,68.0,True,12122
1931-1950,34,terrorism,reich,17.0,True,12122
1931-1950,34,terrorism,zionist,169.0,True,12122
1931-1950,34,terrorism,malaya,9.0,True,12122
1931-1950,34,terrorism,klan,41.0,True,12122
1931-1950,34,terrorism,holy_war,358.0,True,12122
